date,indice,value
1977-04-23,00471X0095,61.35
1977-04-30,00471X0095,61.41
1977-05-07,00471X0095,61.48
1977-05-14,00471X0095,61.59
1977-05-21,00471X0095,61.64
1977-05-28,00471X0095,61.71
1977-06-04,00471X0095,61.77
1977-06-11,00471X0095,61.79
1977-06-18,00471X0095,61.83
1977-06-25,00471X0095,61.86
1977-07-02,00471X0095,61.88
1977-07-09,00471X0095,61.90
1977-07-15,00471X0095,61.96
1977-07-22,00471X0095,61.94
1977-07-29,00471X0095,61.92
1977-08-05,00471X0095,61.88
1977-08-12,00471X0095,61.82
1977-08-19,00471X0095,61.73
1977-08-26,00471X0095,61.61
1977-09-02,00471X0095,61.57
1977-09-09,00471X0095,61.48
1977-09-16,00471X0095,61.35
1977-09-23,00471X0095,61.26
1977-09-30,00471X0095,61.15
1977-10-07,00471X0095,61.06
1977-10-14,00471X0095,60.96
1977-10-21,00471X0095,60.88
1977-10-28,00471X0095,60.79
1977-11-04,00471X0095,60.70
1977-11-11,00471X0095,60.66
1977-11-18,00471X0095,60.62
1977-11-25,00471X0095,60.60
1977-12-02,00471X0095,60.58
1977-12-09,00471X0095,60.55
1977-12-16,00471X0095,60.58
1977-12-23,00471X0095,60.68
1977-12-30,00471X0095,60.78
1978-01-06,00471X0095,60.85
1978-01-13,00471X0095,60.98
1978-01-20,00471X0095,61.08
1978-01-27,00471X0095,61.23
1978-02-03,00471X0095,61.43
1978-02-10,00471X0095,61.71
1978-02-17,00471X0095,62.13
1978-02-24,00471X0095,62.48
1978-03-03,00471X0095,62.58
1978-03-10,00471X0095,62.94
1978-03-17,00471X0095,63.21
1978-03-24,00471X0095,63.38
1978-03-31,00471X0095,63.61
1978-04-07,00471X0095,64.14
1978-04-14,00471X0095,64.63
1978-04-21,00471X0095,64.98
1978-04-28,00471X0095,65.23
1978-05-05,00471X0095,65.47
1978-05-12,00471X0095,65.99
1978-05-19,00471X0095,66.16
1978-05-26,00471X0095,66.24
1978-06-02,00471X0095,66.32
1978-06-09,00471X0095,66.28
1978-06-16,00471X0095,66.22
1978-06-23,00471X0095,66.21
1978-06-30,00471X0095,66.18
1978-07-07,00471X0095,66.14
1978-07-14,00471X0095,66.13
1978-07-21,00471X0095,66.04
1978-07-28,00471X0095,65.94
1978-08-04,00471X0095,65.83
1978-08-11,00471X0095,65.72
1978-08-18,00471X0095,65.58
1978-08-25,00471X0095,65.46
1978-09-01,00471X0095,65.32
1978-09-08,00471X0095,65.17
1978-09-15,00471X0095,64.92
1978-09-22,00471X0095,64.76
1978-09-29,00471X0095,64.62
1978-10-06,00471X0095,64.48
1978-10-13,00471X0095,64.28
1978-10-20,00471X0095,64.13
1978-10-27,00471X0095,63.99
1978-11-03,00471X0095,63.85
1978-11-10,00471X0095,63.72
1978-11-17,00471X0095,63.58
1978-11-24,00471X0095,63.47
1978-12-01,00471X0095,63.34
1978-12-08,00471X0095,63.23
1978-12-15,00471X0095,63.09
1978-12-22,00471X0095,62.99
1978-12-29,00471X0095,62.91
1979-01-05,00471X0095,62.84
1979-01-12,00471X0095,62.79
1979-01-19,00471X0095,62.68
1979-01-26,00471X0095,62.67
1979-02-02,00471X0095,62.68
